,index,name,cnt,unit,gram,cal,carbs,protein,fat,sugar,salt
271,692,취나물,1,인분,100,31,5.4,3.3,0.4,0,0
272,719,미나리강회,1,접시,114,56,8.72,7.12,3.72,0,0
273,844,철판구이볶음,1,소접시,155,146,6.23,13.66,6.91,0,0
274,849,햄김치볶음,1,소접시,99,199,5.48,7,12.98,0,0
275,33,[농심] 미역국밥,1,인분,249,385,0,0,0,0,0
276,856,소세지야채볶음,1,소접시,89,151,4.38,7.92,11.22,0.83,364
277,496,[서울마님죽] 영양닭죽,1,팩,500,345,0,0,0,0,0
278,488,[오뚜기] 마이스타일쇠고기죽,1,인분,22,85,16.85,2.27,0.95,0,0
279,493,종가집아침에먹는호박죽,1,인분,255,170,0,0,0,0,0
280,137,[풀무원] 7가지 야채와 통새우 볶음밥,1,회,225,385,70,9,9,5,550
281,315,[풀무원] 국산콩 진한 콩국물,1,봉,320,160,16,12.8,6.4,3.2,512
282,772,오징어채무침,1,소접시,31,100,4.66,12.8,3.37,0,0
283,40,[오뚜기] 옛날국밥쇠고기미역국밥,1,개,350,255,49,10,1.9,0,820
284,810,아몬드 조미한것,1,종지,13,77,0,0,0,0,0
285,746,콩나물미나리무침,1,소접시,74,28,4.07,3.69,2.33,0,0
286,154,완두콩밥,1,공기,210,325,69.68,6.38,1.41,0.76,639
287,92,[CJ] 볶음자장,1,봉지,180,145,20.75,2,6,0,0
288,583,마늘가루,1,종지,2,8,1.79,0.46,0.02,0,0
289,404,[오뚜기] 옛날구수한누룽지,1,회분,30,110,26,2,0,0,20
290,820,무슬리,1,회분,100,320,0,0,0,0,0
291,161,[농심] 발아현미밥,1,그릇,210,332,0,0,0,0,0
292,681,[한울] 꼬마 맛김치,1,회,80,25,4,1,0,2,420
293,575,고추장볶음,1,종지,29,62,7.75,3.18,1.88,0,0
294,445,[CJ] 녹차죽,1,회분,100,155,29.9,5.8,1.3,0,0
295,752,홍어회무침,1,중간접시,200,199,26,17.9,2.6,0,0
296,403,연포탕,1,그릇,1000,542,20.2,94.9,9,0,0
297,712,미나리나물,1,소접시,89,31,6.29,2.05,0.58,0,0
298,690,배추나물,1,소접시,90,39,7.81,1.73,0.7,0,0
299,979,돼지갈비 구운것,1,토막,45,151,0,13.55,11.52,0,0
300,865,버섯볶음,1,소접시,128,98,10.7,3,6.8,0,613
301,767,북어채무침,1,소접시,28,99,21.85,16.95,22.07,0,0
302,525,[서울마님죽] 고구마죽,1,팩,500,416,406.25,67.25,20.5,0.0,0
303,699,고사리나물,1,인분,81,50,3.6,2.2,3,0,282
304,765,오징어풋마늘무침,1,소접시,101,89,6.48,14.78,1.16,0,0
305,649,토마토케찹,1,티스푼,16,15,3.76,0.26,0.06,3.42,167
306,31,국밥,1,인분,500,680,0,0,0,0,0
307,459,SMART EATING 나트륨을 줄인 전복죽,1,회분,250,155,0,0,0,0,0
